id,active_ingredient,brand,form,strength_mg_per_unit,concentration_mg_per_ml,units_per_pack,unit,volume_ml,presentation_text
1,ibuprofeno,Generico,tablet,200,,20,tableta,,Tabletas 200 mg (20u)
2,ibuprofeno,Generico,tablet,400,,10,tableta,,Tabletas 400 mg (10u)
3,ibuprofeno,Generico,tablet,600,,10,tableta,,Tabletas 600 mg (10u)
4,ibuprofeno,FarmacoA,suspension,,20,,ml,120,Suspensión 20 mg/ml (120 ml)
5,ibuprofeno,FarmacoB,capsula,400,,30,capsula,,Cápsulas 400 mg (30u)
6,paracetamol,Generico,tablet,500,,20,tableta,,Tabletas 500 mg (20u)
7,paracetamol,SaludPlus,tablet,750,,10,tableta,,Tabletas 750 mg (10u)
8,paracetamol,BioMed,suspension,,24,,ml,120,Suspensión 24 mg/ml (120 ml)
9,paracetamol,Medica,tablet,500,,30,tableta,,Tabletas 500 mg (30u)
10,paracetamol,NovaPharm,suspension,,32,,ml,100,Suspensión 32 mg/ml (100 ml)
11,amoxicilina,Generico,capsula,500,,12,capsula,,Cápsulas 500 mg (12u)
12,amoxicilina,LabCare,suspension,,125,,ml,100,Suspensión 125 mg/5 ml (100 ml)
13,amoxicilina,PharmaMax,capsula,250,,20,capsula,,Cápsulas 250 mg (20u)
14,amoxicilina,FarmacoA,suspension,,250,,ml,60,Suspensión 250 mg/5 ml (60 ml)
15,amoxicilina,Equisalud,capsula,500,,20,capsula,,Cápsulas 500 mg (20u)
16,azitromicina,Generico,tablet,250,,6,tableta,,Tabletas 250 mg (6u)
17,azitromicina,FarmacoB,tablet,500,,3,tableta,,Tabletas 500 mg (3u)
18,azitromicina,LabCare,tablet,250,,10,tableta,,Tabletas 250 mg (10u)
19,azitromicina,BioMed,tablet,500,,5,tableta,,Tabletas 500 mg (5u)
20,azitromicina,NovaPharm,tablet,250,,20,tableta,,Tabletas 250 mg (20u)
21,cefalexina,Generico,capsula,500,,10,capsula,,Cápsulas 500 mg (10u)
22,cefalexina,FarmacoA,capsula,250,,20,capsula,,Cápsulas 250 mg (20u)
23,cefalexina,Medica,capsula,500,,20,capsula,,Cápsulas 500 mg (20u)
24,cefalexina,PharmaMax,suspension,,125,,ml,60,Suspensión 125 mg/5 ml (60 ml)
25,cefalexina,Equisalud,capsula,250,,10,capsula,,Cápsulas 250 mg (10u)
26,ciprofloxacina,Generico,tablet,500,,10,tableta,,Tabletas 500 mg (10u)
27,ciprofloxacina,FarmacoB,tablet,250,,20,tableta,,Tabletas 250 mg (20u)
28,ciprofloxacina,LabCare,tablet,500,,20,tableta,,Tabletas 500 mg (20u)
29,ciprofloxacina,BioMed,tablet,500,,3,tableta,,Tabletas 500 mg (3u)
30,ciprofloxacina,NovaPharm,tablet,250,,10,tableta,,Tabletas 250 mg (10u)
31,doxiciclina,Generico,capsula,100,,10,capsula,,Cápsulas 100 mg (10u)
32,doxiciclina,FarmacoA,capsula,100,,20,capsula,,Cápsulas 100 mg (20u)
33,doxiciclina,Medica,capsula,100,,30,capsula,,Cápsulas 100 mg (30u)
34,doxiciclina,PharmaMax,tablet,100,,10,tableta,,Tabletas 100 mg (10u)
35,doxiciclina,LabCare,capsula,100,,10,capsula,,Cápsulas 100 mg (10u)
36,loratadina,Generico,tablet,10,,10,tableta,,Tabletas 10 mg (10u)
37,loratadina,FarmacoB,jarabe,,1,,ml,100,Jarabe 1 mg/ml (100 ml)
